curl,cdesc,otherLinks
https://www.youtube.com/@cs50,"This is CS50, Harvard University's introduction to the intellectual enterprises of computer science and the art of programming. Demanding, but definitely doable. Social, but educational. A focused topic, but broadly applicable skills. CS50 is the quintessential Harvard (and Yale!) course.","['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqblQweGdwZ0JqbFh5d01UUi11UVY2VlA5S3Bud3xBQ3Jtc0ttZ0JfMk1pNHB0UzJVeE1uYXJIMW1RU1plVS04azBNbU9HQW5Yc0FHeVZQZFYwc2NjaHo4b0M2TUhlMDQ1b1RMNkUxZFQ5MWRyX3FRaklSSXFjRmRxQzZxT2U3aXNtRTNMVGdHY0F1UmpPN0tlVEtBYw&q=https%3A%2F%2Fdiscord.gg%2Fcs50', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbDJXbGlRNjFZSVRlWE9TYjN6TDlQV3RxWmlod3xBQ3Jtc0tsbnVIV2hmemxQbHNiWlQyeU1XN3BwWVpHZXpmZWlSOHhXNkJKODg1S3hnVVhZZG50Z0N2b2JIY2NJQjlKRXB3Q3UtVExaMEE1ZDVIQWRia3BCWHJSWUVZYzJfb1BZRzZkSXJNdHRnT0h1SmpmME8zOA&q=http%3A%2F%2Fcs50.edx.org%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa2lDSWVpTGpWUE9mbUpyaFhhVDhhRzdnd2JXQXxBQ3Jtc0tsbzNUSDkydTlSUzRKN0Y0UkxtUHF0RnNFZTJGaUViaHNBUUVJZ0RpWTY2T3Mzd29vLXRidl9FcDltbmlueWtnYUtCbHA4U2o0bHgySW9HQ0hlTkhQUEUyOU42NHFRbXNSbUkwTVc0X0xHdE50ZDhJWQ&q=http%3A%2F%2Fwww.facebook.com%2Fcs50', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbnZLSWNDN1dNZHNHdGE3UDg2MGJJSWVPQVJzQXxBQ3Jtc0tsR0YxQkJjaVZmSGlHeU9La19tcFQ2S3ZKLTRnUERBeGRhc1h0Y1RTbkNhb2VObW8yVDhXVVFLRF9DLWxhMkRlN1lSa2tWMFg3ZUxNb2otUVV3M2I3c2FWdE43TjNUQWpGY3QxWmZvbEJvQ0E5bUxtdw&q=https%3A%2F%2Fwww.instagram.com%2Fcs50', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbW1tdUViLXc3Y2daWVBkM1JWR21JNlVPODB0QXxBQ3Jtc0ttVWdTeVVzdGhNdXFmbklYM1lxMTFHaTJsa0NwQ2dNdzMwV3lBSWtNd1ZXMFlQOFBOWjNNUTJFQzFtN0ttM1BOYkh2WDBsWk5QSXZFZnIwOVc1Ry10dFl5cmdSRVVzTUJxeEZPSFhESHlOeTJMNmhsTQ&q=https%3A%2F%2Fwww.tiktok.com%2F%40cs50', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbExSbXdpZENzY1F1QXNYSlIxRU83aVdrb0xjQXxBQ3Jtc0ttNTJwY1EyV2hZTExCZ3A0X2hzYkkzNlZFakNkNnNHY284OTRCSnJPVnU0bWx5Zlk4RWJCOW1RQW9iYmVSUU5SdTBhaUxVUERGWEIzNzY2X2YxUXlGb3hXM0tiN1N4Wlk5SnpIQWJrTWl5R0VnT3J1Zw&q=https%3A%2F%2Fcs50.harvardshop.com%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqblNpZnpUcVU3N2U5b29Tb2pDM05FQTNqTnA4Z3xBQ3Jtc0tsVTk2T1Z6YVBMZFR6MmlTT29iYkpkMmQ1ZTVfb2h5UGhFWWdpNDJ3WHhvTndGUG5SLW5UcHROc1paNnJLQ3IzckNkTXo2MHZvYzI0ZlluMjNnaHZKOTBzUzhQZkJiVzJvNm5kdkZoNjFKdGRUX1hScw&q=https%3A%2F%2Fwww.reddit.com%2Fr%2Fcs50%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbURSUUdZR0puMVdSRFAwblJPeTJHVVJZclFxQXxBQ3Jtc0traGRkS0hUNWpUX1dZbzJoSVVkcHJjZGdhcjVvMWlyVGU3WUhqOFh1TkUzVDJ3c3VZYlhtcEUtd2E3ZGZESVRNTXNxTnBENFRJV3gzaHdZNTRsRG1GeFRqZm5fQ1NMcUVVeGFrZmc5X0R3RVZGejBMdw&q=https%3A%2F%2Fwww.snapchat.com%2Fadd%2Fcs50', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbjc4MWpJdGhDeXBETURqeG9NSmNFWGhJeWV0QXxBQ3Jtc0ttMXNHeWVzMDhmNWZKNm1CekZ2M1ZKYTlKU2dBVERQanhjRjVkci1mYWNkb0FZX0tHeGp5ajlVZFExSVEybEVrN1V1Q1NoN3JCMmctWVcwR3lzR19Qd3QtQ2xsQ1RoVFB4NW9uaHFZVlZRMzM3cXR1OA&q=https%3A%2F%2Fwww.twitch.tv%2Fcs50tv', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbXpGQU1xZFJSRUNyQnl4VDhEMTdwaWJMOHpkQXxBQ3Jtc0tteFhEajJTX0xveGtzY05TbEpEbWFhd2VDQWlWQ0k4M3hKUXh3XzhRMzB4X0xaRklGLUo5eHNDcmhKd0U5NGVIeTdkenlLNkxYMzFBaHNLbmI5eW9fXzl4blpmT3ppeHljR0tzWF90QUdScUtVdVQtMA&q=http%3A%2F%2Ftwitter.com%2Fcs50']"
https://www.youtube.com/@AbdelrahmanGamal,"الهدف الأول و الأوحد من انشاء تلك القناة هو الارتقاء بالمجتمع العربي 
مهم جداً عشان المجتمع يتقدم ان كل واحد يبدأ بنفسه و انا قررت أبدأ
بنفسي و اعمل كورسات مجانية لوجه الله لعل حد يستفاد ","['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbmJXM2thcHN6bXdwWHlTVExkdDNtMVgweVpWZ3xBQ3Jtc0tubHRKbGREY1JQWWZwcEw5bmRUcjdJNlFDREgtMjUwRUFfLTVUcWhtWjhVTDhOQkN3WTlsTnRPNklSaEpHUDJNQjY5Y0UzOGNzcmlRZnB4WDhfRFk5V251VzlIUU9VQnRXZk9vQzhBUUdGRmxJczZhNA&q=https%3A%2F%2Fwww.facebook.com%2Fgroups%2F1810581845642171%2F%3Fref%3Dshare', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbDYwUDZaN2JPRjl0SVpjbzh2NUdqVWtxNVZvd3xBQ3Jtc0tuWTN4cFBIdkQzQUdpNGpDeURXR1NZbVJ2ZktjVEJfdzIwVkUxakdUTVUzWWpOcDc3OUVKOWpNWld6V0xXcWRKNEhkeG1qME82OE8yTEtLVldacXRWc0pKUlZyWi1XaE9nQWkwbXRyeTdldHR4czl2WQ&q=https%3A%2F%2Fwww.instagram.com%2Fabdelrahman_noufal%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbFY2QkFLRy1ZWkQ2OTVOMHkwNGFsdmxVME9UUXxBQ3Jtc0trRzNZNGw2MUNZM3JaaTFobEJ0bGcwSFBHMDdmbEplUzVtbDJralpJTkNiczRXNktnZkJrRG1fVFdIc2R5NXB4TFR1ZFpFR3RzbFJCbktDWmVjQW1NczdJa3c1QzE3Tzh4dy1QODJYMUNaNXJCcDRCQQ&q=https%3A%2F%2Fnouvil.net%2F']"
https://www.youtube.com/@MohamedFarougHassan,,[]
https://www.youtube.com/@freecodecamp,Learn to code for free.,['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbGxoS1oxbThlZFpQWFZ2Ql95RHBWNl84bmstUXxBQ3Jtc0tsS2toQmtxN1ZNazl0d1Q3QlNnbzlMa3ZmaUNkQ010ZWl1djdMWjd3Ml85R2JmMl96dFhGLTV6QWdqem5xcURmRTlmTnZmMU9KVnNSRXYtOTV4cjdicnRUZ1ZOZzR4WDdVR1JucWhvNWRsQ2RBdmI2NA&q=http%3A%2F%2Fdonate.freecodecamp.org%2F%3Fr%3Dy']
https://www.youtube.com/@ProgrammingAdvices,"If you want to learn programming the right way, this channel will save you years of useless efforts, more than 26+ years of successful experience in this field will be given to you on a golden plate.

If you follow the instructions and tips you can double or triple your income.

I wish you the best,
Mohammed Abu-Hadhoud","['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbXVzZ2RQSkFnel9aNW5YRWdEVFpEOFBnbF9sUXxBQ3Jtc0trS0FJWVkxNGN4WXdYT0ZMeUV1VGxRNHFtNEtfeWZNUU5uVmhoWmdFbkllbFVaeXpnNDF5QUVtX3ZNT0otNEFCZ25rMXRDVmoyTUQyMGJTV2dLbFp4eU9LendLM1dQdVM2R0swbFh4Y0lNUGltZXBCZw&q=https%3A%2F%2Fprogrammingadvices.com%2Fp%2Froadmap', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbjZYZDJJVy13NTlFQllHSnl4b1MydnlBSnNqZ3xBQ3Jtc0tra25ldlBPSjA4Mm1lZkw5NE1ldFI3d2RCcWdZRkVUSkpyOHplS0F4ZHRJZkxaTFViQktvNjlXRWktZklOaVlxSjljYWhKRzI4R3ZnSHA4YlVabTJsbmlNLVNYVEpPeVRSRGowZTN3WmdZYXBvMVBvVQ&q=ProgrammingAdvices.com', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbTZpQ1E5a2F4OVNuakNQQnZFdEtMeG5zZjJQUXxBQ3Jtc0trYU1tQThiVUZBd3ROMlVNVGFocmo5Q1lTbHlGY1V6MVhrNVV6cW1XbEhjeWp1aW4wbG1tSC1KR3BqRG1DR2ZRbW00OFB1LWhtVXVTU3hWSjhpUVhvZ0pBU0V3SEhxNm4xbVBJOWV6VjR1OFUxVWlHQQ&q=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fabuhadhoud%2F']"
https://www.youtube.com/c/MazenCanadaOfficial,"مهندس برمجيات من أصل مصري عايش في كندا. حابب يفرجكم الحياة برة ماشية ازاي . هتتفرجوا على كندا و بقية دول العالم .


الموقع الرسميي : https://mazencanada.com
الانستجرام : https://instagram.com/mazen.canada/","['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbHZDOGJ1aWpKR1A3dDBSemhlNG9oR2JORGRiZ3xBQ3Jtc0trZ1pLWVFfU0FvcS1GdENleGNURjZTV2dSdS1YTGtkcVVEVVRLaTUzY0RRNGJQb3NFeTJuZ1NTX3IyQWdVUE1mTTJMSTRHY0NORGdjUldZTWN1SUVBaE1IcW4yR2pNc1dtSTYwWjNTaTlWSUZFTldJMA&q=https%3A%2F%2Fmazencanada.com%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqblBXVEl0N3d4dzJBNlhqY2JEcHpULUlHa05md3xBQ3Jtc0trR2h2YW5ldHpKN091MUp2MVBEVGpNSjhsMVRLNFNFMnllUU9tTnFraGpBVUljbkR0T0lWalpscmJzY1FWQkFoek1RZThFT2tKRkNsQjRiVTB3NV9xbG0zd2xJN0FMSGZsV3F4Yl9QbkVmV3FSal8ybw&q=https%3A%2F%2Fwww.instagram.com%2Fmazen.canada%2F']"
https://www.youtube.com/channel/UCpnMFON8FKbCCHp8GTEYWHw,,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbU1yZXVZTXhFby1sdGxubUl5NG40dmRLTEtXUXxBQ3Jtc0ttbExjMU9HcUk1Uk9qcEJ1V1FGTzBkYVNCdk1HYzhLUWdoU0RtQWxMX21WWFhyaEVYQUd2dVhrVThraEhxUGRDV0gzSnFOcUIxZmIwYi0zSk1BNXQyWHhRbWdsWTR4NXdMTUFnLVhqWFNOdjlWa0hQaw&q=https%3A%2F%2Fwww.facebook.com%2Fgroups%2F2782717928446280', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqblpkUTBtQ25KNFE4dEtsNEkwTGZmekdCOTB2QXxBQ3Jtc0tuY2tRSjhQOF9BYjM2dGtrb2tFUFBwMHExcjFYbzFlenJjbHh4b25wc29NU2JiNjNLLXNIb0J2T1hoNi1ERHFPdFd1ZTFjNTRpaXVIUUFJQkhOTDgwZ2V2NWs0WWhLRHY5QXlyMG1LaTRBdGo3MEdrNA&q=https%3A%2F%2Fwww.coders-camp.com%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbEFvMzUxMmU2QTFEQWNkTFp0b3Y3VHpFak9DUXxBQ3Jtc0tsUG9zelJRV0VLY1VQSy1WUXZzQWdCWnVHSTJORUZkbG5vM1lxT1pTclJ6eGVEQlllYlV1Q2diUWVwcGFvbkg2ZDQ4QVVtaUE4STEzcFJMeTZ4RFJ3X19OVlktdXdrNTFIbktKV0RaVktIcGtZdFo2aw&q=https%3A%2F%2Fpaypal.me%2FRashaAbden%3Flocale.x%3Dar_EG', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbDFqZk4tdjhTbnptd2FKcXNET1JEY2RfLTB2QXxBQ3Jtc0ttS3FfT2tQMmw0aDJZVGExN1Z4QkhnTFVTeTdRRlo4YjBfSXV0ZUxCemZsTnllanVVUmFqclZsZlUtZ01oaDFxMjFfUnQtQS12MFFIaUpLM1J2cWY1bnUwX1JYSmI2TDRkd0s5TnJnZ1JYX3VYRTVERQ&q=https%3A%2F%2Fwww.buymeacoffee.com%2Frasha_abden']"
https://www.youtube.com/c/DevLoopers,"Discussing technical software topics in simple funny videos, trying to make it as simple as possible
#spread_knowledge",['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbU1sQjlFbXJYN0hJQkdHZHpULUM0dXdFT0F0Z3xBQ3Jtc0ttdWNSZmhrNUhQYi1TbTN0RkZjX0ppYXpySGJCYWo4bG9XMjBHa3k2V3JkRTRwZ3B2TjFuaXpNMGJBR19fbVpHUnhwenJBX0l1bHhlX2ZGcUZjQzNPTXJjeVk1Vjg1NWpMMzZNTGRWeDV0bGFxZXlkYw&q=https%3A%2F%2Fwww.facebook.com%2FDevLoopersOfficial%2F']
https://www.youtube.com/c/AliShahin,"المهندس علي شاهين
-تخرج من كلية حاسبات و معلومات جامعة حلوان 2010
-هو أحد أكبر Youtubers في مجال البرمجة. 
-عمل في أكثر من شركة برمجة منها المتوسط و العالمي.
-قام بتنفيذ العديد من المشاريع على مستوى الوطن العربي في مجالات مثل :
1-نظم التعليم الإلكتروني.
2-نظم إدارة المدارس المتطورة.
3-نظم إدارة الشركات ERP System.
4-نظم إدارة نقاط البيع و التي تعمل في المحلات الكبرى مثل : لابوار و جاد.
5-نظم إدارة الإنتاج في المصانع.
-كما برمج المهندس علي شاهين العديد من تطبيقات الهواتف الذكية بتقنيات مختلفة
فكان له خبرة في مجالات مختلفة مثل : مجال الويب و الموبيل و الديسك توب.
-عمل كقائد فريق في أكثر من شركة لأكثر من 3 سنوات ثم تطور فأصبح يقدم الاستشارات التقنية للكثير
من الشركات في مصر و الوطن العربي.
-ساهم في تعيين العديد من الموظفين و تنظيم فرق عمل على مستوى عالي.
-قرر بعد ذلك ترك المسار المهني و اتجه لمسار التجارة و العمل الحر و أسس شركته الخاصة لصناعة البرامج المتطورة
-لديه موقعه الخاص يقدم من خلاله الكورسات التي تؤهلك لسوق العمل.
-استفاد من دوراته أكثر من عشرين الف طالبا.","['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa2t4VHg4UVVXQzVIZDdYSzVlMW1fMkhfWU1FUXxBQ3Jtc0tuYy13djJUYzg3VXlCLTdIdFlodzdCTXE4bEpxcnhmZURYYjBuVTMzbjhHTFExV0xWdldmbkpJTGlfckwwdlhLY0g0WGxRZC1rT2xxUnhmSTkyMmgzVEJHSEhzazk0YWRLdnVJRktSLVRZdVY3aUpsbw&q=www.alishahin.net', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbXFPdjlNZWEtWTVISUJydFp0dGJYY2I3R3dnZ3xBQ3Jtc0tudlRfT3p4dGllSWtZb0tGWXhySnliaW5NR1FvNzZ2d0t2TDk2amJpUFJORGQwaDVsMmVzQmJvT0l3RGhTclRKSENWVGJtMzFudHFHLXdLZkJqZl9uTXJKZThsYk9rVVV2WC0xeko4Sk53RUdWZEU0RQ&q=https%3A%2F%2Ft.me%2Fjoinchat%2FPvlL-hQSe_nHGIpyFRmyZQ', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqazlBbTdQWU5GWjAzakdZX0V1SHhmY18zT1BWZ3xBQ3Jtc0tuQURfUDNBa1BjSG5jeHc0bUVpaVRhU0ZNNEtqWkxndmhpc0Zxamw0TjU5ek1GMXNaWnBGaExtSlNsY3B5a3BLcDE3VlMxVFVMbTduczRoSjRQZjBaTHpqWnNPRllIb1pNY1FfdzJVMWRaMjc4UEMySQ&q=https%3A%2F%2Fwww.facebook.com%2Falishahin8811', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbk9oQkJoWGd0dDN6cm1Cb3ZRNXBWOW9XZ21Wd3xBQ3Jtc0tuWlpSbEpkWjBkOWFmVVZ3R0c5V1Y3ZW9tZldYaE5hSkFFMFNOcGlLOXVvSElyLUEyOVZ1WEJhZ3Nod3c0YlM3b3BsazhZVVNEa1AtMUlxcUxfbXlENjFCTlczeWl2YVp4b0pzVjd6UnY0UjRseXJlaw&q=https%3A%2F%2Fwww.facebook.com%2Fgroups%2F574588756612012']"
https://www.youtube.com/c/euronewsfr,"Bienvenue sur la chaine YouTube officielle d'Euronews

24 heures sur 24, notre équipe constituée de 500 journalistes de plus de 30 nationalités différentes vous informe en toute impartialité, au-delà des titres et des points de vue en Europe et dans le monde. Notre chaîne YouTube offre davantage, en vous proposant un contenu sélectionné au sein de la première source d'information internationale en Europe.

Notre mission est de permettre aux gens de se faire leur propre opinion. Nous faisons confiance à l'intelligence et à la capacité des gens à se faire leur propre opinion et nous cherchons à offrir à notre public la plus grande diversité de points de vue grâce à un journalisme sans complaisance.

Euronews est née de la volonté de créer une chaîne d'information européenne indépendante et forte. Seul média d'information international ayant une perspective européenne, Euronews est le lieu vers lequel le monde se tourne pour entendre ce que l'Europe a à dire.

Suivez-nous sur:","['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbng2LW1VZElRMmhOUHlhNW5BdjZWN1JxbTNtUXxBQ3Jtc0tsaFlRbV94SlVSandtNHRJT2VtUldBZFEwcC0tZ2d5Q2pWekRaalBOS2gtdGhtQkY3MXZIRTlRdW1Wd0I5TUJsenB1NXlYYW8wUl9KWWxXMzZOT2RWQXBUVDl4UllNT2xmOEowV0ZoMWk2azVjVnVyWQ&q=https%3A%2F%2Ffr.euronews.com%2Fconnectez-vous-a-leurope%3Futm_source%3Dyoutube%26utm_medium%3DSocial%26utm_campaign%3Dfeel-connected-to-europe', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqazQyMGZHVHdvR01XLXZjLUpYUHJxd2kybUQxUXxBQ3Jtc0trRU1uQU1ZUkQ2NG5wNHFZeXVWanp6Rk1ORWxFeklJeGxDYnNiZnMwQks3X3VaYVpyRERTcXEtbGcwLUdsc3FqSkVYLTlXUXJpcG02aWdaVVRJbG5xbzYwU0lmalU3T2g1WFRzLXpoN0Zwb0twUXVDOA&q=https%3A%2F%2Fwww.facebook.com%2Feuronews', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqazB5UzlIYmh5bjNWNk1VUG95X1FkNk1Ua2k0Z3xBQ3Jtc0tsb2ZYdUQ5YmxVN3ZWWUdpY19FczRucVhHMmR3bDBsNmswM3ktVVRYbTd4a0NySmJISzJOLXp0UTNNSjFLU3hxVG1HdHp4LVI5NE5YR25RWGZLemtzWThmNmlPSWliZjF3YXpkeEpoajEzTWlEa2FIaw&q=https%3A%2F%2Ftwitter.com%2Feuronewsfr', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa250a1ZZdWVNRVZmMjVXZjNRRlg2bUxIZkFoZ3xBQ3Jtc0treF9wVmZOdUtNWFRIcTRWLThweVJwb0h5TU5RaE5iQlQ4WWFzM0tmUTU4alNNdlVvdlVoMkhZcnhFb1YxUlZHanh3cEd2TzFKNGhYbUdhNUlFakN0WmQydFY2ZjlIWGJBSjVZd2EybGUza3FwREJnVQ&q=https%3A%2F%2Fflipboard.com%2F%40euronewsfr', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbEtPd2N0amtKaVowb0licDNleFJGSFdhclRVUXxBQ3Jtc0trZXFaaEliNml4YTNZb3NpV1VlOHBaeFNDSnEzX2tkSlBnUWd0bjFVX185cFMxNV9QcGFBbm1BQTUzTUR2a0I2Qmd1ZVFjdGZiN090WTJnSVFiQ3ZfYllGNDM2MzJqWjZWLVgwRERmSnVGR2c4N3p4NA&q=https%3A%2F%2Fwww.instagram.com%2Feuronews.tv%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa3Bwa2QzTC1wTE9rekZ2S09NQTZQeHktaVFDd3xBQ3Jtc0trM2xWTmJuWTF1RTA5SVNvMk1QeW9YaDhzNXlKN0Q1bTVIVXVLZXRUdW1xQ01QZE4yaThiQkJueWxiZjhxUnBRU3JkWG9RNVQ2V2FDVmd6dzR0S3lSbV9yY2J3NEJLMkNhakxRSWEtMFZ0dTJ1b1plTQ&q=https%3A%2F%2Fitunes.apple.com%2Fapp%2Fapple-store%2Fid555667472%3Fmt%3D8', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqblhoUGVoZi0zRjBFb1RVejROUE1wRXpVS3FxQXxBQ3Jtc0ttdHNZeFplRlRxc3cwYjQ2d3lpc2R6a3M4eDB3bmZid0F1Skc4bzJwQ0xDQU9pOFhkQ0ViUVJoenFPNmJBQUdESkpId2NtWmMtbTI2cXBEVzZSMHJpdWxMRjg0SGtUTXQ4a2FMZk5COHZEN1ZoOUtLMA&q=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.euronews.express%26referrer%3Dutm_source%253Dwebsite%2526utm_medium%253Dfollowus', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbEdmakdkdFhsM0hvS0ttUmxQM0FpSnljbEpzUXxBQ3Jtc0trX1p1ZjZMQUhKNEoxV3JESDRmLUgzanlUY3dnWjZtMi02cDgzaVByV051Y1V2TEVMbEFaWmhPTjg5N3FoYmxtNllHb0xPc3ptVmlkZFRMU0RhejYtQU00V1ItdEluVHpSa0VLV1dOQ2M2Nmdvbi1Xcw&q=https%3A%2F%2Ffr.euronews.com%2F']"
